p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.1,0,hub_1,pcglassoFast_Dual,C,9.999999999999982e-9,0.13153749999994488,1.8821730074725886
10,0.1,0,hub_1,pcglassoFast_Dual,C,3.5111917342151263e-8,0.10827500000011696,1.8821732970104113
10,0.1,0,hub_1,pcglassoFast_Dual,C,1.2328467394420646e-7,0.09824999999989359,1.8821733702758867
10,0.1,0,hub_1,pcglassoFast_Dual,C,4.328761281083054e-7,0.09253750000004857,1.882173940093633
10,0.1,0,hub_1,pcglassoFast_Dual,C,1.5199110829529328e-6,0.06818750000002183,1.8821760069365685
10,0.1,0,hub_1,pcglassoFast_Dual,C,5.336699231206308e-6,0.050324999999975265,1.8826968649519191
10,0.1,0,hub_1,pcglassoFast_Dual,C,1.873817422860384e-5,0.028687500000069123,1.8845965912285625
10,0.1,0,hub_1,pcglassoFast_Dual,C,6.579332246575681e-5,0.023074999999926148,1.8852406460144622
10,0.1,0,hub_1,pcglassoFast_Dual,C,2.310129700083161e-4,0.019987500000070213,1.8850727970376386
10,0.1,0,hub_1,pcglassoFast_Dual,C,8.11130830789687e-4,0.014412500000162254,1.8869758090702966
10,0.1,0,hub_1,pcglassoFast_Dual,C,0.002848035868435802,0.00888750000001437,1.8953015029085838
10,0.1,0,hub_1,pcglassoFast_Dual,C,0.010000000000000004,0.007362500000158434,1.898009234378889
10,0.1,0,hub_1,pcglassoFast_Dual,I,9.999999999999982e-9,0.13420000000007803,1.8821736288521564
10,0.1,0,hub_1,pcglassoFast_Dual,I,3.5111917342151263e-8,0.11360000000015588,1.8821733480348968
10,0.1,0,hub_1,pcglassoFast_Dual,I,1.2328467394420646e-7,0.10393750000000637,1.8821739486615485
10,0.1,0,hub_1,pcglassoFast_Dual,I,4.328761281083054e-7,0.0898874999999407,1.8821969794785347
10,0.1,0,hub_1,pcglassoFast_Dual,I,1.5199110829529328e-6,0.06965000000002419,1.8821759595861032
10,0.1,0,hub_1,pcglassoFast_Dual,I,5.336699231206308e-6,0.050962499999945975,1.882184263894744
10,0.1,0,hub_1,pcglassoFast_Dual,I,1.873817422860384e-5,0.03872500000002219,1.8842059428771174
10,0.1,0,hub_1,pcglassoFast_Dual,I,6.579332246575681e-5,0.0371000000000322,1.8834038279509198
10,0.1,0,hub_1,pcglassoFast_Dual,I,2.310129700083161e-4,0.029550000000062936,1.8870317749021912
10,0.1,0,hub_1,pcglassoFast_Dual,I,8.11130830789687e-4,0.027024999999912324,1.8889140966174414
10,0.1,0,hub_1,pcglassoFast_Dual,I,0.002848035868435802,0.022762500000203544,1.8908054228410727
