p,lambda,alpha,K_structure,solver,starting_point,tolerance,time_median,f_end
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,I,2.5118864315095806e-6,0.021999999999934516,41.437338688271566
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,I,3.98107170553497e-5,0.02100000000007185,41.43734060417125
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,I,6.309573444801935e-4,0.01499999999987267,41.43743166728089
50,0.1,0.5,AR2,pcglassoFast_PrimalDual,I,0.010000000000000004,0.011999999999829924,41.437945273376606
50,0.1,0.5,hub_09,pcglasso,C,9.999999999999982e-9,0.07399999999984175,41.61087094480084
50,0.1,0.5,hub_09,pcglasso,C,1.5848931924611096e-7,0.049999999999954525,41.61087097443559
50,0.1,0.5,hub_09,pcglasso,C,2.5118864315095806e-6,0.04600000000004911,41.61087212745327
50,0.1,0.5,hub_09,pcglasso,C,3.98107170553497e-5,0.031000000000062755,41.61099994682903
50,0.1,0.5,hub_09,pcglasso,C,6.309573444801935e-4,0.01499999999987267,41.63486432993957
50,0.1,0.5,hub_09,pcglasso,C,0.010000000000000004,0.005000000000109139,57.86897031879203
50,0.1,0.5,hub_09,pcglasso,I,9.999999999999982e-9,0.06700000000000728,41.61087092621693
50,0.1,0.5,hub_09,pcglasso,I,1.5848931924611096e-7,0.05449999999973443,41.61087098039729
50,0.1,0.5,hub_09,pcglasso,I,2.5118864315095806e-6,0.04650000000003729,41.61087197926217
50,0.1,0.5,hub_09,pcglasso,I,3.98107170553497e-5,0.028999999999996362,41.61102990804511
50,0.1,0.5,hub_09,pcglasso,I,6.309573444801935e-4,0.007000000000061846,41.725927981138426
50,0.1,0.5,hub_09,pcglasso,I,0.010000000000000004,0.005000000000109139,41.96503000004425
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,9.999999999999982e-9,0.009999999999990905,41.61087092387358
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,1.5848931924611096e-7,0.009000000000014552,41.61087095247297
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,2.5118864315095806e-6,0.008000000000038199,41.61087138283218
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,3.98107170553497e-5,0.007000000000061846,41.610883427551016
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,6.309573444801935e-4,0.005999999999971806,41.61091758306303
50,0.1,0.5,hub_09,pcglassoFast_Dual,C,0.010000000000000004,0.005000000000109139,41.611065847165584
50,0.1,0.5,hub_09,pcglassoFast_Dual,I,9.999999999999982e-9,0.009499999999889042,41.61087092416691
