"p","structure","solver","start","tol_found","run_id","time","f_end","gap","success"
150,"line","pcglasso_cpp","C",1e-04,9,2.328,83.9376900965331,4.97854777705697e-05,TRUE
150,"line","pcglasso_cpp","C",1e-04,10,2.599,83.9376900965331,4.97854777705697e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,1,1.276,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,2,0.903000000000006,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,3,1.82,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,4,2.607,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,5,0.963000000000001,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,6,0.963999999999999,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,7,1.711,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,8,0.353999999999999,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,9,2.151,2.47834709589946,2.95666525262916e-05,TRUE
10,"hub","pcglasso_fortran","C",1e-05,10,0.871000000000002,2.47834709589946,2.95666525262916e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,1,0.164000000000001,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,2,0.161000000000001,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,3,0.153999999999996,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,4,0.154000000000003,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,5,0.155000000000001,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,6,0.228000000000002,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,7,0.152000000000001,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,8,0.157000000000004,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,9,0.144999999999996,5.99145910862725,1.02006299362856e-05,TRUE
10,"line","pcglasso_fortran","C",1e-05,10,0.136999999999993,5.99145910862725,1.02006299362856e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,1,4.788,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,2,7.88,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,3,4.15799999999999,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,4,3.385,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,5,6.687,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,6,3.639,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,7,12.755,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,8,8.537,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,9,1.872,15.8990711534381,5.85667415435864e-05,TRUE
50,"hub","pcglasso_fortran","C",1e-05,10,7.45500000000001,15.8990711534381,5.85667415435864e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,1,0.373999999999995,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,2,0.192999999999998,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,3,0.351999999999997,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,4,0.340000000000003,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,5,0.828000000000003,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,6,0.256,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,7,0.263000000000005,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,8,0.226999999999997,24.6396184405543,1.88861883643199e-05,TRUE
50,"line","pcglasso_fortran","C",1e-05,9,0.337000000000003,24.6396184405543,1.88861883643199e-05,TRUE
