p,cor_modifier,lambda,alpha,K_structure,solver,starting_point,tolerance,time_trimmed_mean,f_end
10,0.8,0.1,0.5,line,pcglasso_cpp,C,3.5111917342151263e-8,0.005500000000012051,7.667101090804461
10,0.8,0.1,0.5,line,pcglasso_cpp,C,1.2328467394420646e-7,0.0049999999999954525,7.667101125621349
10,0.8,0.1,0.5,line,pcglasso_cpp,C,4.328761281083054e-7,0.0049999999999954525,7.667101231912561
10,0.8,0.1,0.5,line,pcglasso_cpp,C,1.5199110829529328e-6,0.0049999999999954525,7.6671016107853065
10,0.8,0.1,0.5,line,pcglasso_cpp,C,5.336699231206308e-6,0.012000000000000455,7.667102906149033
10,0.8,0.1,0.5,line,pcglasso_cpp,C,1.873817422860384e-5,0.003999999999990678,7.667107350243083
10,0.8,0.1,0.5,line,pcglasso_cpp,C,6.579332246575681e-5,0.012000000000000455,7.667122390825602
10,0.8,0.1,0.5,line,pcglasso_cpp,C,2.310129700083161e-4,0.003500000000002501,7.667173225548053
10,0.8,0.1,0.5,line,pcglasso_cpp,C,8.11130830789687e-4,0.002500000000026148,7.667338883352139
10,0.8,0.1,0.5,line,pcglasso_cpp,C,0.002848035868435802,0.0030000000000143245,7.667874877039966
10,0.8,0.1,0.5,line,pcglasso_cpp,C,0.010000000000000004,0.0024999999999693046,7.669588883484305
10,0.8,0.1,0.5,line,pcglasso_cpp,I,9.999999999999982e-9,0.0049999999999954525,7.667101077699574
10,0.8,0.1,0.5,line,pcglasso_cpp,I,3.5111917342151263e-8,0.005499999999983629,7.667101084346211
10,0.8,0.1,0.5,line,pcglasso_cpp,I,1.2328467394420646e-7,0.011500000000012278,7.6671011059182925
10,0.8,0.1,0.5,line,pcglasso_cpp,I,4.328761281083054e-7,0.012000000000000455,7.667101171347972
10,0.8,0.1,0.5,line,pcglasso_cpp,I,1.5199110829529328e-6,0.004500000000007276,7.667101370781991
10,0.8,0.1,0.5,line,pcglasso_cpp,I,5.336699231206308e-6,0.004500000000007276,7.667102077972349
10,0.8,0.1,0.5,line,pcglasso_cpp,I,1.873817422860384e-5,0.003999999999990678,7.667104490662473
10,0.8,0.1,0.5,line,pcglasso_cpp,I,6.579332246575681e-5,0.004500000000007276,7.667112671154271
10,0.8,0.1,0.5,line,pcglasso_cpp,I,2.310129700083161e-4,0.004000000000019099,7.667140752447079
10,0.8,0.1,0.5,line,pcglasso_cpp,I,8.11130830789687e-4,0.0030000000000143245,7.667235850362701
10,0.8,0.1,0.5,line,pcglasso_cpp,I,0.002848035868435802,0.002500000000026148,7.6675637706900455
10,0.8,0.1,0.5,line,pcglasso_cpp,I,0.010000000000000004,0.0024999999999977263,7.668700112957113
10,0.8,0.1,0.5,line,pcglasso_fortran,C,9.999999999999982e-9,0.006000000000000227,7.667101074184334
