p,lambda,alpha,K_structure,solver,starting_point,tolerance,m,status,time,f_end,error
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.45000000000000284,169.31471805599455,NA
200,0.2,0.5,hub_09,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.4939999999999998,169.31471805599455,NA
10,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.02999999999999403,7.250662749998524,NA
10,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.01899999999999835,7.250662749998524,NA
50,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.031999999999996476,36.812467078664746,NA
50,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.03399999999999892,36.812467078664746,NA
100,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.11699999999999733,78.935141013404,NA
100,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.12699999999999534,78.935141013404,NA
150,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.5189999999999984,122.27400747070767,NA
150,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.5300000000000011,122.27400747070767,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.6439999999999984,164.0155297500544,NA
200,0.1,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.9600000000000009,164.0155297500544,NA
10,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.0030000000000001137,8.600215968861338,NA
10,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.003999999999997783,8.600215968861338,NA
50,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,1,ok,0.021000000000000796,44.816416588480386,NA
50,0.2,0,AR2,pcglassoFast_Primal,C,0.010000000000000004,2,ok,0.026000000000003354,44.816416588480386,NA
